audio,score,midi,match,estimated_bpm
asap/audio/Beethoven_Piano_Sonatas_5-1_Colafelice02M.mp3,asap/score/Beethoven_Piano_Sonatas_5-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_5-1_Colafelice02M.mid,asap/match/Beethoven_Piano_Sonatas_5-1_Colafelice02M.match,187
asap/audio/Beethoven_Piano_Sonatas_5-1_SunD02M.mp3,asap/score/Beethoven_Piano_Sonatas_5-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_5-1_SunD02M.mid,asap/match/Beethoven_Piano_Sonatas_5-1_SunD02M.match,215
asap/audio/Beethoven_Piano_Sonatas_8-3_Na06M.mp3,asap/score/Beethoven_Piano_Sonatas_8-3_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_8-3_Na06M.mid,asap/match/Beethoven_Piano_Sonatas_8-3_Na06M.match,97
asap/audio/Beethoven_Piano_Sonatas_9-3_Tysman05M.mp3,asap/score/Beethoven_Piano_Sonatas_9-3_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_9-3_Tysman05M.mid,asap/match/Beethoven_Piano_Sonatas_9-3_Tysman05M.match,81
asap/audio/Chopin_Etudes_op_10_12_Bult-ItoS04M.mp3,asap/score/Chopin_Etudes_op_10_12_xml_score.musicxml,asap/midi/Chopin_Etudes_op_10_12_Bult-ItoS04M.mid,asap/match/Chopin_Etudes_op_10_12_Bult-ItoS04M.match,129
asap/audio/Chopin_Etudes_op_10_12_HuNY03M.mp3,asap/score/Chopin_Etudes_op_10_12_xml_score.musicxml,asap/midi/Chopin_Etudes_op_10_12_HuNY03M.mid,asap/match/Chopin_Etudes_op_10_12_HuNY03M.match,127
asap/audio/Chopin_Etudes_op_10_12_LuoJ08M.mp3,asap/score/Chopin_Etudes_op_10_12_xml_score.musicxml,asap/midi/Chopin_Etudes_op_10_12_LuoJ08M.mid,asap/match/Chopin_Etudes_op_10_12_LuoJ08M.match,147
asap/audio/Chopin_Etudes_op_10_12_WuuE06M.mp3,asap/score/Chopin_Etudes_op_10_12_xml_score.musicxml,asap/midi/Chopin_Etudes_op_10_12_WuuE06M.mid,asap/match/Chopin_Etudes_op_10_12_WuuE06M.match,133
asap/audio/Chopin_Etudes_op_10_12_ZhangYunling02M.mp3,asap/score/Chopin_Etudes_op_10_12_xml_score.musicxml,asap/midi/Chopin_Etudes_op_10_12_ZhangYunling02M.mid,asap/match/Chopin_Etudes_op_10_12_ZhangYunling02M.match,145
asap/audio/Liszt_Transcendental_Etudes_10_CaoJ03M.mp3,asap/score/Liszt_Transcendental_Etudes_10_xml_score.musicxml,asap/midi/Liszt_Transcendental_Etudes_10_CaoJ03M.mid,asap/match/Liszt_Transcendental_Etudes_10_CaoJ03M.match,82
asap/audio/Liszt_Transcendental_Etudes_10_Huang17M.mp3,asap/score/Liszt_Transcendental_Etudes_10_xml_score.musicxml,asap/midi/Liszt_Transcendental_Etudes_10_Huang17M.mid,asap/match/Liszt_Transcendental_Etudes_10_Huang17M.match,72
asap/audio/Liszt_Transcendental_Etudes_10_LeungM06M.mp3,asap/score/Liszt_Transcendental_Etudes_10_xml_score.musicxml,asap/midi/Liszt_Transcendental_Etudes_10_LeungM06M.mid,asap/match/Liszt_Transcendental_Etudes_10_LeungM06M.match,93
asap/audio/Liszt_Transcendental_Etudes_3_Huang14M.mp3,asap/score/Liszt_Transcendental_Etudes_3_xml_score.musicxml,asap/midi/Liszt_Transcendental_Etudes_3_Huang14M.mid,asap/match/Liszt_Transcendental_Etudes_3_Huang14M.match,136
asap/audio/Rachmaninoff_Preludes_op_23_6_Nikiforov14M.mp3,asap/score/Rachmaninoff_Preludes_op_23_6_xml_score.musicxml,asap/midi/Rachmaninoff_Preludes_op_23_6_Nikiforov14M.mid,asap/match/Rachmaninoff_Preludes_op_23_6_Nikiforov14M.match,60
asap/audio/Schumann_Toccata_DupreeF13M.mp3,asap/score/Schumann_Toccata_xml_score.musicxml,asap/midi/Schumann_Toccata_DupreeF13M.mid,asap/match/Schumann_Toccata_DupreeF13M.match,116
asap/audio/Schumann_Toccata_repeat_WangY07M.mp3,asap/score/Schumann_Toccata_repeat_xml_score.musicxml,asap/midi/Schumann_Toccata_repeat_WangY07M.mid,asap/match/Schumann_Toccata_repeat_WangY07M.match,113
