audio,score,annotations
urmp/audio/AuMix_16_Surprise_tpt_tpt_sax_trim.mp3,urmp/score/Sco_16_Surprise_tpt_tpt_sax.mid,urmp/annotations/16.tsv
urmp/audio/AuMix_17_Nocturne_vn_fl_cl_trim.mp3,urmp/score/Sco_17_Nocturne_vn_fl_cl.mid,urmp/annotations/17.tsv
urmp/audio/AuMix_18_Nocturne_vn_fl_tpt_trim.mp3,urmp/score/Sco_18_Nocturne_vn_fl_tpt.mid,urmp/annotations/18.tsv
urmp/audio/AuMix_19_Pavane_cl_vn_vc_trim.mp3,urmp/score/Sco_19_Pavane_cl_vn_vc.mid,urmp/annotations/19.tsv
urmp/audio/AuMix_20_Pavane_tpt_vn_vc_trim.mp3,urmp/score/Sco_20_Pavane_tpt_vn_vc.mid,urmp/annotations/20.tsv
urmp/audio/AuMix_21_Rejouissance_cl_tbn_tba_trim.mp3,urmp/score/Sco_21_Rejouissance_cl_tbn_tba.mid,urmp/annotations/21.tsv
urmp/audio/AuMix_22_Rejouissance_sax_tbn_tba_trim.mp3,urmp/score/Sco_22_Rejouissance_sax_tbn_tba.mid,urmp/annotations/22.tsv
urmp/audio/AuMix_23_Rejouissance_cl_sax_tba_trim.mp3,urmp/score/Sco_23_Rejouissance_cl_sax_tba.mid,urmp/annotations/23.tsv
urmp/audio/AuMix_24_Pirates_vn_vn_va_vc.mp3,urmp/score/Sco_24_Pirates_vn_vn_va_vc.mid,urmp/annotations/24.tsv
urmp/audio/AuMix_25_Pirates_vn_vn_va_sax.mp3,urmp/score/Sco_25_Pirates_vn_vn_va_sax.mid,urmp/annotations/25.tsv
urmp/audio/AuMix_26_King_vn_vn_va_vc.mp3,urmp/score/Sco_26_King_vn_vn_va_vc.mid,urmp/annotations/26.tsv
urmp/audio/AuMix_27_King_vn_vn_va_sax.mp3,urmp/score/Sco_27_King_vn_vn_va_sax.mid,urmp/annotations/27.tsv
urmp/audio/AuMix_28_Fugue_fl_ob_cl_bn_trim.mp3,urmp/score/Sco_28_Fugue_fl_ob_cl_bn.mid,urmp/annotations/28.tsv
urmp/audio/AuMix_29_Fugue_fl_fl_ob_cl_trim.mp3,urmp/score/Sco_29_Fugue_fl_fl_ob_cl.mid,urmp/annotations/29.tsv
urmp/audio/AuMix_30_Fugue_fl_fl_ob_sax_trim.mp3,urmp/score/Sco_30_Fugue_fl_fl_ob_sax.mid,urmp/annotations/30.tsv
urmp/audio/AuMix_31_Slavonic_tpt_tpt_hn_tbn_trim.mp3,urmp/score/Sco_31_Slavonic_tpt_tpt_hn_tbn.mid,urmp/annotations/31.tsv
urmp/audio/AuMix_32_Fugue_vn_vn_va_vc_trim.mp3,urmp/score/Sco_32_Fugue_vn_vn_va_vc.mid,urmp/annotations/32.tsv
urmp/audio/AuMix_33_Elise_tpt_tpt_hn_tbn_trim.mp3,urmp/score/Sco_33_Elise_tpt_tpt_hn_tbn.mid,urmp/annotations/33.tsv
urmp/audio/AuMix_34_Fugue_tpt_tpt_hn_tbn_trim.mp3,urmp/score/Sco_34_Fugue_tpt_tpt_hn_tbn.mid,urmp/annotations/34.tsv
urmp/audio/AuMix_35_Rondeau_vn_vn_va_db_trim.mp3,urmp/score/Sco_35_Rondeau_vn_vn_va_db.mid,urmp/annotations/35.tsv
urmp/audio/AuMix_36_Rondeau_vn_vn_va_vc_trim.mp3,urmp/score/Sco_36_Rondeau_vn_vn_va_vc.mid,urmp/annotations/36.tsv
urmp/audio/AuMix_37_Rondeau_fl_vn_va_cl_trim.mp3,urmp/score/Sco_37_Rondeau_fl_vn_va_cl.mid,urmp/annotations/37.tsv
urmp/audio/AuMix_38_Jerusalem_vn_vn_va_vc_db_trim.mp3,urmp/score/Sco_38_Jerusalem_vn_vn_va_vc_db.mid,urmp/annotations/38.tsv
urmp/audio/AuMix_39_Jerusalem_vn_vn_va_sax_db_trim.mp3,urmp/score/Sco_39_Jerusalem_vn_vn_va_sax_db.mid,urmp/annotations/39.tsv
urmp/audio/AuMix_40_Miserere_fl_fl_ob_cl_bn_trim.mp3,urmp/score/Sco_40_Miserere_fl_fl_ob_cl_bn.mid,urmp/annotations/40.tsv
urmp/audio/AuMix_41_Miserere_fl_fl_ob_sax_bn_trim.mp3,urmp/score/Sco_41_Miserere_fl_fl_ob_sax_bn.mid,urmp/annotations/41.tsv
urmp/audio/AuMix_42_Arioso_tpt_tpt_hn_tbn_tba_trim.mp3,urmp/score/Sco_42_Arioso_tpt_tpt_hn_tbn_tba.mid,urmp/annotations/42.tsv
urmp/audio/AuMix_43_Chorale_tpt_tpt_hn_tbn_tba_trim.mp3,urmp/score/Sco_43_Chorale_tpt_tpt_hn_tbn_tba.mid,urmp/annotations/43.tsv
urmp/audio/AuMix_44_K515_vn_vn_va_va_vc_trim.mp3,urmp/score/Sco_44_K515_vn_vn_va_va_vc.mid,urmp/annotations/44.tsv
